date,account_id,target_account_id,amount,currency,transaction_type
2026-04-08T09:12:00Z,ACC-10023,EXT-994112,450.00,USD,transfer
2026-04-08T09:15:30Z,ACC-10023,CORP-001,12000.00,USD,wire_transfer
2026-04-08T10:05:12Z,ACC-44981,EXT-112351,15.50,USD,payment
2026-04-08T10:14:44Z,ACC-88321,OFFSHR-999,500000.00,USD,international_wire
2026-04-08T11:22:15Z,ACC-77442,EXT-33211,85.20,USD,transfer
2026-04-08T11:45:00Z,ACC-10023,EXT-994112,450.00,USD,transfer
2026-04-08T12:01:30Z,ACC-33219,CORP-902,2500.00,USD,payment
2026-04-08T12:15:45Z,ACC-99211,CRYPTO-EX,150000.00,USD,crypto_transfer
2026-04-08T13:40:20Z,ACC-55319,EXT-88221,45.00,USD,payment
2026-04-08T14:10:05Z,ACC-22910,EXT-33211,920.00,USD,transfer
